20070101,0,0,0,OAKLAND_FOOTHILLS.A
20070102,0,0,0,OAKLAND_FOOTHILLS.A
20070103,0.14,0.14,0.14,OAKLAND_FOOTHILLS.A
20070104,0.2,0.2,0.2,OAKLAND_FOOTHILLS.A
20070105,0,0,0,OAKLAND_FOOTHILLS.A
20070106,0,0,0,OAKLAND_FOOTHILLS.A
20070107,0,0,0,OAKLAND_FOOTHILLS.A
20070108,0,0,0,OAKLAND_FOOTHILLS.A
20070109,0,0,0,OAKLAND_FOOTHILLS.A
20070110,0,0,0,OAKLAND_FOOTHILLS.A
20070111,0,0,0,OAKLAND_FOOTHILLS.A
20070112,0,0,0,OAKLAND_FOOTHILLS.A
20070113,0,0,0,OAKLAND_FOOTHILLS.A
20070114,0,0,0,OAKLAND_FOOTHILLS.A
20070115,0,0,0,OAKLAND_FOOTHILLS.A
20070116,0.09,0.09,0.09,OAKLAND_FOOTHILLS.A
20070117,0.01,0.01,0.01,OAKLAND_FOOTHILLS.A
20070118,0,0,0,OAKLAND_FOOTHILLS.A
20070119,0,0,0,OAKLAND_FOOTHILLS.A
20070120,0,0,0,OAKLAND_FOOTHILLS.A
20070121,0,0,0,OAKLAND_FOOTHILLS.A
20070122,0,0,0,OAKLAND_FOOTHILLS.A
20070123,0,0,0,OAKLAND_FOOTHILLS.A
20070124,0,0,0,OAKLAND_FOOTHILLS.A
20070125,0,0,0,OAKLAND_FOOTHILLS.A
20070126,0.09,0.09,0.09,OAKLAND_FOOTHILLS.A
20070127,0.22,0.22,0.22,OAKLAND_FOOTHILLS.A
20070128,0.17,0.17,0.17,OAKLAND_FOOTHILLS.A
20070129,0,0,0,OAKLAND_FOOTHILLS.A
20070130,0,0,0,OAKLAND_FOOTHILLS.A
20070131,0,0,0,OAKLAND_FOOTHILLS.A
20070201,0,0,0,OAKLAND_FOOTHILLS.A
20070202,0,0,0,OAKLAND_FOOTHILLS.A
20070203,0,0,0,OAKLAND_FOOTHILLS.A
20070204,0,0,0,OAKLAND_FOOTHILLS.A
20070205,0,0,0,OAKLAND_FOOTHILLS.A
20070206,0,0,0,OAKLAND_FOOTHILLS.A
20070207,0.44,0.44,0.44,OAKLAND_FOOTHILLS.A
20070208,0.44,0.44,0.44,OAKLAND_FOOTHILLS.A
20070209,0.59,0.59,0.59,OAKLAND_FOOTHILLS.A
20070210,1.37,1.37,1.37,OAKLAND_FOOTHILLS.A
20070211,0.02,0.02,0.02,OAKLAND_FOOTHILLS.A
20070212,0.35,0.35,0.35,OAKLAND_FOOTHILLS.A
20070213,0,0,0,OAKLAND_FOOTHILLS.A
20070214,0,0,0,OAKLAND_FOOTHILLS.A
20070215,0,0,0,OAKLAND_FOOTHILLS.A
20070216,0,0,0,OAKLAND_FOOTHILLS.A
